# WEB-2D official marketing screenshot manifest
# Processed: 2026-09-04
# Columns: filename | dimensions_px | filesize_bytes | sha256
hero-dashboard.png | 2546x1286 | 431165 | 8197c01024c2f3fcde13ae4a81ad781e0eff07ca2950aa859cce8b8144fa5478
home-agenda.png | 2540x1304 | 503922 | 9dabc43e3987da7643ddac1b9c09d6da130d69388bc2314e840a407782ee1ed7
home-configuracion.png | 2556x1296 | 316821 | 54587462ce6be52fb30ca3bafb4c807a2b6e91a48990adff14c648804aec729b
home-consentimientos.png | 2540x1300 | 380795 | 727d999e3d59441b1e044959f78f76519fafc5153eab66d3a1ac2dff23126d79
home-finanzas.png | 2534x1292 | 347892 | 41bf77bfd1fc2013864641c07d12e127c104a5220e879801dd80efe8b5233422
home-historia-clinica.png | 2548x1308 | 385438 | 5d04a9a66b05524df063dfb3b3b930170df317d9a25472c477d08d3975d0e446
home-odontograma.png | 2544x1296 | 836378 | a7db4c015aadf85a3f4f72f8401d82258186b1de4cce4b876d0ff466bc2a9cd1
home-pacientes.png | 2558x1300 | 364420 | 99e78208b3ed1b29b1deb9711849d9d26fe310ce6f423781e03c3b409a88fffe
home-presupuesto.png | 2532x1312 | 315645 | cca4c7e552ccb6da5d608bf4cfcf45085dd0762b8949f2695098dba8e3cb5add
home-seguimientos.png | 2536x1292 | 362773 | a59750d52c6257cbcd902d785d384b8fae45a80b483539f88c37325743566a39
home-tratamientos.png | 2552x1300 | 411417 | 86a7317fd5006920501931ee92682d9a016ade40620b8556eeed8844be6983a0
